pre_exclusion_participant_id,participant_id,start_date,end_date,q_duration_in_sec,confidence_1,demanding_1,helpful_1,process_1 ,design_1 ,confidence_3,demanding_3,helpful_3,process_3 ,design_3 ,confidence_2,demanding_2,helpful_2,process_2 ,design_2 ,confidence_4,demanding_4,helpful_4,process_4 ,design_4 ,confidence_7,demanding_7,helpful_7,process_7 ,design_7 ,confidence_12,demanding_12,helpful_12,process_12 ,design_12 ,description,most_helpful,least_helpful,most_confusing,prgm_interface_both,prgm_interface_both_explanation,sus_frequent,sus_complex,sus_easy,sus_support,sus_integrated,sus_inconsistency,sus_quickly,sus_cumbersome,sus_confident,sus_learn,age,gender_mc,gender_text,education,cs_position,cs_class,cs_experience,ifttt_familiarity,owned_iot_mc,owned_iot_text,feedback,prolific_pid,interface,task_1_choice,task_1_time_ms,task_1_condition,task_1_correct,task_12_choice,task_12_time_ms,task_12_condition,task_12_correct,task_2_choice,task_2_time_ms,task_2_condition,task_2_correct,task_3_choice,task_3_time_ms,task_3_condition,task_3_correct,task_4_choice,task_4_time_ms,task_4_condition,task_4_correct,task_7_choice,task_7_time_ms,task_7_condition,task_7_correct,task_1_used_prgm_button,task_2_used_prgm_button,task_3_used_prgm_button,task_4_used_prgm_button,task_7_used_prgm_button,task_12_used_prgm_button,tut1,tut2,tut3
2,1,2020-08-17 15:10:36,2020-08-17 15:30:16,1179,1,6,3,Compared to the two programs plus the new feature,Very helpful in organizing the information,2,6,2,Compared to the two programs closely in the interfact,Helped! It clearly outlined each facet of the programs.,2,5,3,Same thought process,Helped with comparing the two programs,3,3,4,Similar thought process but was more complicated,Helped but not that much,5,1,3,Same process at first one,Too many programs. Hindered.,3,4,4,I reread the instructions to understand what I was going into and looked at both programs separately. ,It hindered a bit with the many many rows that scroll down through the screen. ,"First I would read the task instructions. Then I would read the original program. After that, I would either look at the modified program or go through all the different program options to compare how they operate in relation to the original program. ",The green areas,The non highlighted areas,None,2,Organized the information in a table-like format which made it easier for me to quickly sift through.,10,8,10,9,8,10,10,8,9,8,2,1,,6,2,1,2,2,1,Google home,No,5f1234504c85671701d5a52e,Text-Diff,[1],40405,1,1,[1],93008,1,1,"[1, 2]",56938,1,0,[1],81218,1,0,[2],141151,1,1,"[11, 14]",59517,1,0,0,0,0,0,0,0,1,1,1
3,2,2020-08-17 15:10:46,2020-08-17 15:46:00,2114,1,7,1,its adding a feature,its intuitive,2,4,1,i submitted correct answer,it intuitive,3,4,1,none of programs did the task.,its intuitive,7,2,1,i guessed in this one.,its intuitive,1,4,1,i just picked correct answer according to task,yes,4,1,1,i guessed.,its intuitive,ok,It was very intuitive and i knew exacly what to do and where to press.,Selecting programs,none,2,i forgot about this button.,6,12,6,12,7,12,6,12,6,12,3,2,,2,3,2,2,2,1,"laptops, smartphones, ps4",,5ee8d2e7dfec0f1f9a94f016,Rules,[1],93407,1,1,"[1, 2]",27268,1,0,[],93938,1,0,[1],94814,1,0,[],136295,1,0,[14],135161,1,1,0,0,0,0,0,0,1,1,1
4,3,2020-08-17 15:10:58,2020-08-17 15:46:14,2116,2,5,2,Looked at what was changed.,Showed me what was different.,3,4,4,None of the changes contradicted her goals,"There were a lot of steps to sort through, but the color coding that told me when something was different helped.",3,4,4,"On Program 2, the Ac turned off if Bobbie left but if Alice was still in the house, so it's not good.",It was fine,2,4,4,"The changes in 1 or 2 would leave out a window in the equation, leading to 2 or 0 windows being left open.",The colors and bold words helped.,2,4,4,"After a certain point, I realized I could get rid of any option that turned off the tv, which made things quicker.",It was a lot of options to sort through.,3,3,4,"All of the options for the two programs involved turning something off, so as long as *something* turns off, her goal is met.",Not much.,"First, I would select the task/instructions box in the upper left hand corner. Then I would read it. Then I would read whatever setup was currently on the screen. Then I would toggle through the options given to me to see if one, many, or none of the options would help accomplish the instructions.",Coloring and bolding the parts that differed.,Having to select between 27 options in the little picker box got annoying.,None,2,I was told to use the interface.,8,10,7,11,8,10,8,10,8,9,2,2,,4,1,2,2,2,1,smart plug,,5c16acd7a7c04e000163f7b0,Text-Diff,[1],62423,1,1,"[1, 2]",164398,1,0,[1],95780,1,1,[1],166293,1,0,[],116039,1,0,[14],291775,1,1,0,0,0,0,0,0,1,1,1
5,4,2020-08-17 15:10:55,2020-08-17 15:49:27,2312,5,3,2,"Alice wanted smart faucet to turn off when she was no longer in the bathroom. Modified program did so, while original program left faucet on. What was not clear to me was whether modified program turned faucet on in the first place when Alice entered bathroom, but at least it turned it off when she left.",It was like a flow chart to help me.,2,3,2,"it only was supposed to record when she was asleep, and since she was awake in the scenario it did not matter that it was not recording",it's too much to remember without interface to refer back to,3,3,2,"Originally when Alice was away from home, but Bobbie was home, AC stayed off since she had programmed it to be off when she left home. Now that Bobbie is staying with her, she needs AC to be on even if she's not home, as long as Bobbie (or someone else) is home. Both Programs 1 & 2 permitted AC to be on even when Alice was away, as long as Bobbie was home.",referred to last bubble,2,3,1,"Original program resulted in only one window being open. That was the goal, one and only one window open in house. Both program 1 and program 2 resulted in two windows in house being left open. My eyes glazed over and I didn't follow full flow chart, but just looked at final outcome, so hopefully didn't miss anything.","I was able to refer to final configuration of open and closed windows though I had trouble following the ""if this situation happens"" aspect of it.",4,1,5,"I did not have the patience to look through all the permutations of different programs, and since an acceptable answer was ""one or more of the programs"" I did not feel need to scramble my brain since one of the first programs I looked at met the criteria of keeping Smart TV on while allowing fresh air in, i.e. window open.",too many choices was overwhelming,2,3,2,Original program permitted all energy using appliances to be ON at the same time. Alice wanted at least one of them to be off to save power. Program 1 had coffee pot off when others were on. Program 2 had Roomba off when others were on. ,interface showed that both new programs resulted in desired outcome of one or more (in this case just one) appliances being turned off to save power,"Usually (should have been always, but honestly it was just usually) I read the task first so I'd know what to focus on when comparing programs. After reading task, I would look to see if final box of flow chart presented desired task outcome. I would then repeat that to assess 2nd program.",Final panel or box of flowchart with end result was most helpful. I could see if that matched desired outcome of task and then track backwards from that to make sure other criteria were met.,dotted lines,not color coded enough,2,it was too hard to remember details to compare the two when presented one at a time,11,8,11,10,8,11,12,7,10,11,4,1,,5,2,2,2,2,1,Husband owns smart security cameras. I myself couldn't care less about smart devices.,"Glad I'm too poor to have to worry about the confusing aspects of smart technology, since I don't own any nor see any need for it unless one is disabled.",5dcf4136cf8e7e086ea019e4,Flowcharts,[1],68886,1,1,"[1, 2]",117871,1,0,"[1, 2]",99099,1,0,[1],58027,1,0,[],88489,1,0,[2],129401,1,0,0,0,0,0,0,0,1,1,1
6,5,2020-08-17 15:10:35,2020-08-17 15:51:19,2443,4,1,4,the original program and modify program are the same,it was easy to understand,4,1,5,the program are different,it was difficult to understand,4,1,6,because alice want the light to be off while she is not at home,it was not easy to understand,4,1,5,the two program did not explain what alice want,it was difficult to understand,4,1,3,i pick program one because it show almost all what alice want her smart home to do,i was able to compare them,3,1,2,program 1 explain what will always or never happen,i was able to check program one and two to compare them,i read the original program and also the modify program well and use it in answering the question to the best of my ability,the first interface,the third interface,the third interface,2,because i feel the interface is more helpful,7,6,11,7,8,10,7,11,11,7,2,1,,5,1,2,2,2,2,,,5f1b0b1ed8b3d90771044627,Property-Diff,[1],54143,1,1,[1],72579,1,1,[],69572,1,0,[-1],41351,1,1,[],60586,1,0,[1],66495,1,0,0,0,0,0,0,0,1,0,1
7,6,2020-08-17 15:10:06,2020-08-17 16:03:14,3187,3,3,5,"This first task seemed fairly straightforward but the tutorial format scattered my self-confidence so I felt like I overthought the first task a little bit, the format of the ""if ___ then ___"" window took a moment to get used to, so I was uncertain what it was I had answered.","I can have difficulty processing information if it is given to me piecemeal, while the tutorial guided me through parts of the process I found myself trying to read the page top down behind the tutorial window, darkening so much if the screen and having extensive hand-holding made me feel like I did not fully process the task instructions. ",3,2,3,I was more uncertain having been given less information/outcomes to process than in previous scenarios. I misunderstood the wording of the question but upon re-reading instructions to clarify I felt like I understood enough to move forward (misread whether the door was locked/unlocked for recording),I misunderstood the task instructions and was clearly able to reevaluate them in opening the upper left task goals window.,1,1,1,"Task 4 went very quickly, it felt like this expanded what was being asked to consider but the process of analysis was much more straightforward than task 3. ",Having done multiple repetitions of this exercise I feel fast and confident in using the interface.,1,2,1,I now feel confident and fast at using the interface through repetition. I appreciate the complexity added by changing what I am looking for in evaluating the outcomes.,"The interface helped significantly, having % match from previous situations let me quickly look to the options and see if any fit the suggested change.",2,2,2,The 'muscle memory' of completing task 1 made task 2 much smoother and intuitive. I started to feel the process of quickly evaluating what information is and is not important; the extra data gave me more information to think about the task and counter-intuitively made me more confident than task 1.,"I appreciate the additional options and parameters to work between, this helped me more rapidly understand the basic task at hand.",1,3,3,"I could tell time of day was a new variable added that is not yet in use, and I predict it will be the main point of evaluating scenario 6, I was quickly able to evaluate these scenarios in checking to see if any programs resulted in anything ending turned off.",The interface gave me a hint that scenario 6 will have to do with time of day.,"After opening the task window I would read to see how many programs and situations I am dealing with, glance at the 'if / then' boxes to see how many options are involved, then opening the task window. At this point I determine what is the variable I need to look for changing first, which often ended up being 'is any of this resulting list turned off,' spotting the difference. After each task I looked to see which program if any resulted in 100% accuracy, all programs of which being my final answer.","I felt most help in graphically organizing the program flow charts, allowing me to think the tasks through in my own mental flow chart and coming to conclusions with a simple yes/no.",The task goal instructions had too much colored/bold text and was laid out in a way I felt the need to analyze/tease out what I'm looking for (but such is the critical thinking of word problems).,"The user-interface itself was confusing, I feel like a creature of habit and patterns, the new digital representation of information took me a few minutes to feel comfortable moving through.",2,"I did not notice / had forgotten there was a button corresponding to the whole list of programs, but had I seen it I would not have used it, such super lists give me too much information at once and can scatter my concentration and analysis at hand. I try to simplify data, not process all the data there is.",11,8,9,12,8,10,7,10,8,8,2,2,,3,2,2,1,2,2,,"I am 26 and detest the connectedness of smart home devices, the added convenience to me is far outweighed by the perceived etc. infringement of privacy. ",5ed83674e7cb0a18273e9028,Questions,[1],68129,1,1,[1],255400,1,1,[1],69635,1,1,[-1],152654,1,1,[],112857,1,0,[14],127339,1,1,0,0,0,0,0,0,1,1,0
8,7,2020-08-17 15:12:06,2020-08-17 16:07:24,3318,2,5,3,"There was only 1 modified program showed, and it had an option to turn off the faucet when she left the room, which was easy to visualize in the interface.  So, I selected that. one. ","It narrowed down the options very quickly to just two scenarios, so it was easy to visualize which was the correct one. ",3,5,3,"In this task, I was only given one option.  And since I was awake, there was only one option that turned the camera off, which need to be off since I was awake.","I think visually showing all the combination was helpful, so I could see easily if the program met them. ",2,5,2,"In this task, it was ok for the AC to be on, as long as anyone else was home.  So, it was very easy to see the combination of people being home and seeing the AC state to decide which options to pick. The interface then narrowed down the choices for me, so that I could quickly pick the correct program. ","It visually showed the options available, then narrowed down the list of contending programs for me. ",3,2,3,"I looked at all the outcomes. I felt they were all ok, as long as one window and only one windows stayed open at all times. ","It showed me all the possible outcomes, which made it easy to visualize what would happen. ",2,5,1,"In this scenario, the interface reduced the list of programs down to just 3 that I was shown to evaluate, instead of having to look at 20 programs. Then, it was very easy to look at the possible outcomes of the window, roomba and TV to figure out which options prioritized the fresh air over the roomba",It made it very quick to eliminate options that didn't meet the requirements. ,2,5,2,"In task, there were a large number of devices to be turned on, but it always required one to be off.  So, it was very easy to go through the list of options and see which ones had all the devices on and which ones had at least one off. This made it very easy to narrow down the options quick. ",Not having to keep track of which options were on and off in each situation made it very easy to quickly determine which combinations met the requirements. ,"First, I read the scenario, so I could understand what the requirements were.  Then, I read the first scenario, taking note of the original conditions and the state change that was taking effect in that scenario.  Then, I read each set of options, and put a check in the box if the options meet the requirement of things being off/on, people being home, etc.  Then I repeated that for each of the options presented.  After I did that, the interface showed me which programs, based on my selections, met the full requirements Alice had.  I then put a check in the box of the programs that I felt met the requirements. ",The part I found most helpful were the lists of combinations that could result from the action being taken by the program. That made it very easy to either rule in or rule out a scenario within a program. ,"The part where it showed the percentages of the other programs was not particularly helpful. If it wasn't 100% correct, then I wasn't going to select it. ","I found it confusing when at the top it told me that there were 20 programs to evaluate, but then only showed me 3 or 4 of them to evaluate.",2,"I didn't really see a need to look at the the programs button, because the interface was pretty clear.  I trusted the interface and didn't use it. ",8,10,8,10,8,11,8,10,8,10,4,1,,6,2,2,2,2,1,Amazon alexa and some smart plugs for turning lights on and off,It was pretty interesting. ,5f2acbe47823df3a6447e112,Questions,[1],113866,1,1,[1],182177,1,1,[1],104148,1,1,[1],153094,1,0,[2],212108,1,1,[14],208058,1,1,0,0,0,0,0,0,1,1,1
9,8,2020-08-17 15:10:44,2020-08-17 16:09:10,3505,1,6,1,This one was really easy. There wasn't a lot of information on the screen like in the previous tasks so it was easy to analyze the programs and get the correct answer,easy and simple to use ,2,5,2,I just checked if the cameras are on when Alice is asleep on the  modified program . ,Its simple and easy to use ,2,6,2,I just had to choose the option where the AC is off when both of them are not home ,its simple and easy to use ,5,3,3,"Again , there was a lot of information to take in but i feel more confident this time and I hope I was right",its simple and easy to use,2,5,2,It was an easy task I just had to check if the window is open and if the TV is on. ,"it was simple and easy to use
",3,3,2,"It was a little hard because there was a lot of information to process , but i think i did a decent job and I hope my answer was correct",The interface is really simple and easy to understand and use ,"So the first thing that I would do is go to the ""task instructions"" and read what I have to do. Then I would look at the original program and compare it to the program #1 or program #2 or modified program etc. Then I would know which answer is correct. ",the green and red colors. ,None. I think all parts were somewhat relevant and helpful ,I think the green and red colors confused me at first but then they turned out to be simple. ,2,It was just more comfortable for me.,7,11,6,12,7,11,6,11,7,11,1,2,,5,2,2,2,2,3,,,5d5d9c6f0256f20016fe62fd,Text-Diff,[1],88010,1,1,"[1, 2]",197131,1,0,[1],105923,1,1,[1],238450,1,0,"[1, 2]",135042,1,0,[14],310675,1,1,0,0,0,1,0,0,1,1,1
10,9,2020-08-17 15:13:12,2020-08-17 16:11:00,3467,1,2,1,Alice wants her house to dry. keep all the water away from home.,"this interface is the most simple so far, so it is easy to find the answer.",3,2,1,she wants to feel secure so in fragile moments she needs the camera on,"it helps a little, the design can be much simpler tho.",1,2,2,She wants to save the energy but also wants her brother comfortable at her home.,"a little hard, but once i get used to  the interface i find it easy to get the answer.",3,2,2,"she wants fresh air, at least once window open, any window.","it is hinder, the interface should be easier.",2,2,4,most important to keep the air fresh and tv on.. but too much noise when the tv and the roomba on at the same time.,not really helps so far.,2,1,3,"she needs to save the energy, appliances can not be on at the same time.",it is too much again. ,"first i would look at the top left to read the task. then click below it to read the program. When is too long i skip it to the columns, read it carefully then  the choices. Scrolled down to choose the answers and submit it.",the third task,the first task,the last task,3,"to see which one is easier, mostly the interface is a lot easier.",10,7,11,6,9,8,10,7,8,6,3,1,,4,2,2,2,2,1,fiber with modem internet,,5ed2f70cae98302901c31d4f,Text-Diff,[1],102407,1,1,[1],235081,1,1,[1],155021,1,1,[1],226888,1,0,"[1, 2]",310003,1,0,[5],180789,1,0,1,1,1,1,0,0,0,1,1
11,10,2020-08-17 15:10:59,2020-08-17 16:11:18,3618,1,7,7,The modified program did everything the original program did but also added that the faucet turns off when Alice exits the bathroom.,"Hindered my ability significantly, it didn't show the programs comparison at all. It was completely blank so I clicked programs to see if I could see anything then which it did let me but this also happened to me on a previous task but I had believed it was blank on purpose but now I realize that is not the case which could mean I got that task wrong.",1,7,4,The modified program didn't allow the house to be recorded when the front door was unlocked.,Didn't use much of the interface.,1,3,1,Both the programs had the AC turned off when no one was home but didn't have anything that allowed Alice and her brother to use the AC freely.,It's a very simple interface that allows you to see your instructions and change programs very easily.,1,7,1,Program 1 didn't effect other areas of the house and Program 2 was about the same as the original program but didn't allow a window to be open in the bedroom while a window was open in the bathroom.,"Helped me, very simple to use.",2,2,6,The programs I picked had said that they would not let the Roomba turn on when the window was open and the TV were on and didn't affect the TV.,"It hindered my ability because when I went to compare the programs, it kept showing my options down near the higher programs and not the near the programs that were next on the list.",1,7,1,"There was no original program and no program 2, program 1 had everything Alice had wanted for her house.","Helped me, very simple to use on this task.","First, I would click the ""Task Instructions"" and read what Alice wanted. I then would compare the programs that were at my disposal and very rarely did I click ""Programs"" until I realized there was a glitch that caused some programs to appear blank when comparing the programs. I then decided on the final task to click the programs to be able to see what the programs did.",The task instructions and being able to compare programs.,The part where you can compare programs when they would appear blank and when trying to select another program when there was 27 would put me back at the bottom of the list.,When the programs appeared blank when trying to compare the two.,2,It was more preferred since I could see both the programs and being able to see the differences side by side which is great. (when it works),8,12,6,12,8,6,6,12,6,12,1,2,,3,2,1,2,1,2,,"Study was great and the interface, main complaint is to fix the programs from appearing blank.",5c5a19299404f10001ff8cbf,Property-Diff,[1],5831,1,1,[1],49244,1,1,[],119486,1,0,[-1],34064,1,1,[],19811,1,0,"[5, 8, 14, 17]",540135,1,0,1,0,0,0,0,0,1,1,1
